country,sex_ratio_all_age_groups,children_per_woman_total_fertility,daily_income,population,urban_population_percent_of_total,female_agriculture_workers_percent_of_female_employment,female_industry_workers_percent_of_female_employment,female_service_workers_percent_of_female_employment,male_agriculture_workers_percent_of_male_employment,male_industry_workers_percent_of_male_employment,male_service_workers_percent_of_male_employment,mean_years_in_school_men_25_years_and_older,mean_years_in_school_women_25_years_and_older,females_aged_15_24_unemployment_rate_percent,females_aged_25_54_unemployment_rate_percent,females_aged_55_64_unemployment_rate_percent,females_aged_65plus_unemployment_rate_percent,males_aged_15_24_unemployment_rate_percent,males_aged_25_54_unemployment_rate_percent,males_aged_55_64_unemployment_rate_percent,males_aged_65plus_unemployment_rate_percent
Aruba,88.9,1.79,,,44.1,,,,,,,,,,,,,,,,
Afghanistan,102.0,3.53,3.04,43.4M,26.6,65.0,25.0,10.0,36.6,16.8,46.5,2.6,0.4,21.1,14.8,7.01,,14.5,8.78,9.54,9.28
Angola,97.8,5.14,4.64,37.8M,68.1,56.8,0.92,42.3,44.7,12.7,42.7,5.1,2.8,,,,,,,,
Anguilla,95.2,,,,,,,,,,,,,,,,,,,,
Albania,99.0,1.7,17.5,2.83M,63.8,41.6,16.3,42.1,32.7,22.9,44.4,10.2,9.4,,,,,,,,
Andorra,104.0,,,,87.8,,,,,,,,,,,,,,,,
UAE,223.0,1.64,84.7,9.59M,87.5,0.0084,5.42,94.6,1.67,40.1,58.3,9.5,8.3,,,,,,,,
Argentina,98.1,2.18,21.7,46.1M,92.3,0.0312,9.2,90.8,0.078,31.2,68.7,9.8,10.1,35.0,9.95,8.09,2.3,26.8,8.52,8.43,5.13
Armenia,81.8,1.58,9.88,2.78M,63.6,26.9,11.4,61.7,21.7,35.8,42.5,11.3,11.3,,,,,,,,
American Samoa,97.4,,,,87.2,,,,,,,,,,,,,,,,
Antigua and Barbuda,91.5,1.97,22.9,94.8k,24.3,,,,,,,11.8,12.2,,,,,,,,
Australia,98.7,1.8,67.5,26.7M,86.5,1.71,7.45,90.8,3.29,29.2,67.5,11.9,11.5,13.2,5.26,4.78,2.31,15.3,5.1,5.42,2.67
Austria,97.1,1.57,71.7,8.98M,59.3,3.18,11.8,85.1,4.07,37.2,58.8,11.8,11.0,9.51,4.97,3.61,,11.3,4.95,4.36,
Azerbaijan,97.5,1.97,20.5,10.5M,57.2,41.8,5.91,52.3,30.6,23.1,46.3,12.1,11.3,,,,,,,,
Burundi,98.7,5.07,2.03,13.6M,14.4,93.7,0.913,5.43,78.1,5.99,15.9,3.5,2.0,,,,,,,,
Belgium,97.9,1.82,64.3,11.7M,98.2,0.629,8.41,91.0,1.17,31.6,67.2,12.1,11.9,15.1,4.85,3.62,,15.5,5.11,4.61,
Benin,100.0,4.45,5.58,14.1M,49.5,29.8,16.2,54.1,46.5,20.4,33.1,3.7,1.6,,,,,,,,
Burkina Faso,99.4,4.72,4.73,23.8M,31.9,21.4,25.2,53.4,30.1,25.2,44.8,1.7,0.8,,,,,,,,
Bangladesh,98.0,1.9,5.5,175M,39.7,57.6,17.7,24.8,30.1,22.9,47.0,4.7,2.6,,,,,,,,
Bulgaria,94.2,1.66,39.1,6.62M,76.4,4.3,22.2,73.5,8.63,36.8,54.6,11.8,12.0,13.7,4.6,4.12,,14.6,5.25,4.41,
Bahrain,161.0,1.86,53.8,1.5M,89.7,0.0398,8.57,91.4,1.16,41.7,57.2,9.1,7.8,,,,,,,,
Bahamas,91.1,1.72,35.1,415k,83.5,0.34,2.91,96.8,3.89,25.0,71.2,10.5,10.8,,,,,,,,
Bosnia and Herzegovina,96.9,1.47,34.2,3.19M,49.8,20.5,16.8,62.7,16.4,40.7,42.8,9.4,7.5,42.8,17.8,7.11,1.13,32.5,12.6,11.4,0.97
Belarus,85.2,1.76,18.0,9.46M,80.3,7.51,18.7,73.7,14.6,41.8,43.6,11.8,11.7,10.2,2.74,2.84,4.71,14.3,3.98,4.06,4.71
Belize,101.0,2.27,9.55,417k,46.4,4.69,9.26,86.0,24.1,19.4,56.5,8.5,8.3,,,,,,,,
Bermuda,92.9,,,,100.0,,,,,,,,,,,,,,,,
Bolivia,100.0,2.6,20.1,12.6M,70.8,30.3,10.2,59.4,30.7,26.7,42.6,8.4,6.7,16.6,10.1,4.04,2.02,15.7,4.97,4.09,2.11
Brazil,96.4,1.64,20.3,218M,87.6,4.02,10.6,85.4,12.8,26.9,60.2,6.8,7.2,36.3,13.4,7.17,3.79,27.5,9.49,7.49,3.18
Barbados,92.2,1.81,16.5,282k,31.3,1.58,9.01,89.4,3.69,28.5,67.8,,,,,,,,,,
Brunei,107.0,1.79,62.8,456k,78.9,0.722,9.42,89.9,2.85,29.1,68.1,,,,,,,,,,
Bhutan,112.0,1.83,16.8,792k,43.7,64.0,9.57,26.4,50.2,10.6,39.2,,,,,,,,,,
Botswana,97.7,2.43,10.5,2.72M,72.2,15.3,9.24,75.5,23.9,24.9,51.1,5.3,6.0,47.9,23.3,15.8,6.06,44.9,20.6,16.5,13.9
Central African Republic,99.9,4.28,2.25,5.92M,43.1,72.6,4.57,22.8,67.5,7.68,24.8,4.6,2.1,,,,,,,,
Canada,98.8,1.56,64.9,39.1M,81.8,1.0,8.35,90.6,1.97,29.1,68.9,14.2,14.2,19.4,7.78,7.62,8.12,20.9,7.72,8.28,6.96
Switzerland,98.8,1.58,79.5,8.85M,74.1,1.98,10.1,87.9,3.12,29.2,67.6,13.5,12.6,8.01,5.08,3.24,,9.17,4.17,4.51,
Chile,98.5,1.73,28.7,19.7M,87.9,4.74,10.2,85.1,12.0,31.0,57.0,10.2,10.1,26.6,10.7,7.44,5.8,23.7,10.9,7.42,3.87
China,104.0,1.67,16.6,1.43B,63.6,22.0,23.1,54.9,27.9,30.8,41.2,7.7,6.4,,,,,,,,
Cote d'Ivoire,102.0,4.43,6.82,29.6M,52.7,31.0,10.5,58.5,46.6,14.6,38.8,4.1,2.0,,,,,,,,
Cameroon,99.6,4.2,6.27,29.4M,58.7,47.7,11.0,41.3,39.8,17.4,42.8,6.6,4.2,,,,,,,,
"Congo, Dem. Rep.",98.5,5.32,2.67,106M,46.8,71.5,3.48,25.0,57.4,15.9,26.7,7.6,4.0,,,,,,,,
"Congo, Rep.",99.8,4.21,3.09,6.24M,68.7,32.0,22.2,45.7,35.0,20.8,44.3,8.1,5.3,,,,,,,,
Cook Is,90.5,,,,,,,,,,,,,,,,,,,,
Colombia,97.1,1.72,15.3,52.3M,82.0,6.6,14.4,79.0,22.3,24.2,53.5,6.6,6.4,33.0,17.9,9.59,4.81,20.7,11.0,9.68,7.38
Comoros,101.0,3.83,6.49,868k,29.9,31.6,16.4,52.0,36.4,20.5,43.1,4.1,2.3,,,,,,,,
Cape Verde,98.9,2.1,11.6,604k,67.5,5.47,11.4,83.1,14.7,30.1,55.2,5.0,3.5,,,,,,,,
Costa Rica,99.9,1.69,25.9,5.25M,82.0,4.05,10.0,85.9,16.7,24.1,59.2,8.4,8.6,50.9,19.5,10.7,7.7,34.0,11.6,7.94,6.86
Cuba,98.3,1.73,11.4,11.2M,77.4,7.27,10.4,82.3,23.7,21.3,55.0,10.5,10.2,,,,,,,,
Cayman Islands,101.0,,,,100.0,,,,,,,,,,,,,,,,
Cyprus,100.0,1.36,60.3,1.27M,66.9,1.28,7.07,91.6,3.36,28.0,68.7,12.3,11.8,12.3,7.57,5.66,,24.4,6.63,5.89,
Czech Republic,97.5,1.65,43.2,10.5M,74.4,1.74,23.6,74.6,3.4,48.2,48.4,13.7,13.3,9.16,2.84,2.37,,7.22,2.07,1.67,
Germany,97.5,1.52,65.7,83.3M,77.6,0.832,13.9,85.3,1.53,38.7,59.7,12.4,12.0,6.39,3.18,2.81,,7.94,4.02,3.48,
Djibouti,98.4,2.45,6.62,1.15M,78.4,22.1,6.8,71.1,26.1,17.8,56.0,5.3,1.8,,,,,,,,
Dominica,98.6,,,,71.7,,,,,,,,,,,,,,,,
Denmark,99.0,1.79,71.1,5.94M,88.4,1.11,8.79,90.1,3.22,27.3,69.5,12.8,12.8,10.6,5.54,4.26,,12.6,4.37,4.15,
Dominican Republic,100.0,2.21,15.5,11.4M,83.8,1.39,9.28,89.3,13.5,24.9,61.6,7.5,7.7,20.7,8.3,1.19,1.41,11.6,3.2,1.31,0.08
Algeria,104.0,2.39,9.59,46.3M,74.8,3.38,23.5,73.1,10.8,31.7,57.5,4.7,4.2,,,,,,,,
Ecuador,99.6,2.29,15.3,18.4M,64.6,27.1,9.81,63.1,31.5,22.3,46.2,8.5,8.1,15.4,7.22,2.97,,8.72,5.28,3.01,1.19
Egypt,102.0,2.91,7.6,114M,43.0,21.2,8.01,70.8,20.5,31.9,47.6,7.9,5.3,,,,,,,,
Eritrea,97.5,3.61,3.51,3.82M,42.6,68.3,4.5,27.2,58.7,9.67,31.7,3.9,2.1,,,,,,,,
Western Sahara,123.0,2.22,,,,30.3,13.3,56.4,18.5,26.3,55.2,,,,,,,,,,
Spain,96.2,1.46,53.8,47.5M,81.3,2.04,9.42,88.5,5.68,29.5,64.8,9.0,9.0,39.7,16.6,13.8,6.71,37.1,12.6,11.5,4.29
Estonia,90.8,1.72,45.2,1.32M,69.6,1.51,17.1,81.4,4.7,39.4,55.9,11.1,11.7,18.4,6.02,5.69,,17.4,5.78,7.85,
Ethiopia,101.0,3.39,5.55,130M,22.7,58.7,9.1,32.2,73.4,9.51,17.0,2.3,1.0,,,,,,,,
Finland,97.8,1.79,61.2,5.55M,85.7,2.06,8.79,89.1,5.38,33.6,61.0,11.8,12.3,19.4,5.8,6.87,,23.2,5.87,8.06,
Fiji,101.0,2.34,7.89,943k,58.2,8.21,7.51,84.3,22.2,17.4,60.5,9.5,9.2,,,,,,,,
Falkland Is (Malvinas),100.0,,,,,,,,,,,,,,,,,,,,
France,93.3,1.96,63.6,64.9M,81.5,1.49,9.54,89.0,3.5,30.5,66.0,10.5,10.5,19.9,7.09,5.76,3.1,20.3,7.03,5.78,2.27
Faeroe Islands,107.0,,,,42.8,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",101.0,2.81,5.66,116k,23.2,,,,,,,,,,,,,,,,
Gabon,103.0,3.33,12.2,2.48M,90.7,45.8,2.72,51.5,21.0,15.3,63.7,7.6,5.7,,,,,,,,
Guernsey,99.0,,,,,,,,,,,,,,,,,,,,
Isle of Man,98.1,,,,53.3,,,,,,,,,,,,,,,,
UK,97.8,1.87,61.7,68M,84.4,0.583,7.7,91.7,1.46,27.3,71.2,13.0,13.0,,,,,,,,
Georgia,88.7,1.94,9.3,3.72M,60.3,40.1,5.58,54.3,36.5,21.5,41.9,12.5,12.5,38.3,16.8,10.9,5.21,40.1,20.4,13.7,9.07
Ghana,99.5,3.57,5.93,34.8M,58.6,22.1,23.1,54.8,36.4,19.3,44.4,7.8,5.2,,,,,,,,
Gibraltar,99.9,,,,100.0,,,,,,,,,,,,,,,,
Guinea,98.2,4.27,5.11,14.5M,37.7,61.8,1.98,36.2,59.2,10.4,30.3,3.0,1.0,,,,,,,,
Guadeloupe,82.4,1.86,,,,,,,,,,,,,,,,,,,
Gambia,99.1,4.84,5.59,2.84M,63.9,33.1,4.04,62.9,22.6,23.1,54.3,3.9,2.0,,,,,,,,
Guinea-Bissau,97.8,4.07,4.43,2.2M,45.0,64.1,5.77,30.1,57.1,11.2,31.6,3.1,1.1,,,,,,,,
Equatorial Guinea,111.0,4.03,12.5,1.75M,74.0,42.5,11.7,45.9,37.8,23.8,38.4,7.7,4.5,,,,,,,,
Greece,95.4,1.33,35.0,10.3M,80.4,10.6,7.83,81.6,12.3,20.7,67.0,10.7,10.1,39.3,20.0,13.0,9.19,31.4,13.1,11.6,8.36
Grenada,99.7,1.95,15.6,127k,36.9,,,,,,,,,,,,,,,,
Greenland,110.0,,,,87.7,,,,,,,,,,,,,,,,
Guatemala,97.9,2.61,11.2,18.4M,52.7,9.78,17.1,73.1,41.8,19.5,38.7,5.0,3.9,,,,,,,,
French Guiana,98.7,3.05,,,,,,,,,,,,,,,,,,,
Guam,101.0,2.2,,,95.1,0.0922,3.54,96.4,0.329,23.8,75.8,,,,,,,,,,
Guyana,96.3,2.33,59.1,820k,27.0,7.87,10.9,81.2,20.1,33.6,46.3,9.3,9.4,,,,,,,,
"Hong Kong, China",85.0,1.45,64.5,7.5M,100.0,0.109,3.43,96.5,0.225,18.6,81.1,,,13.6,4.14,4.38,3.41,17.3,6.17,7.12,3.71
Honduras,102.0,2.2,10.6,10.8M,59.6,8.27,19.0,72.7,42.3,22.8,34.9,5.9,5.7,27.7,11.9,4.0,3.47,11.1,7.95,8.36,8.38
Holy See,92.5,,,,,,,,,,,,,,,,,,,,
Croatia,95.2,1.46,40.5,3.99M,58.2,4.43,16.2,79.4,7.71,37.6,54.7,11.1,10.8,25.0,6.62,5.41,,18.7,6.9,4.13,
Haiti,98.0,2.57,3.47,11.9M,58.8,13.1,2.0,84.9,42.5,10.6,46.9,4.7,3.4,,,,,,,,
Hungary,92.6,1.47,34.8,9.99M,72.6,2.84,20.0,77.2,6.29,42.2,51.5,11.3,11.1,14.0,4.12,2.75,,11.9,3.58,3.17,
Indonesia,101.0,2.18,8.44,280M,57.9,26.4,16.7,57.0,29.9,26.1,44.1,7.3,6.1,14.3,2.21,0.48,,15.1,3.2,1.32,0.38
India,106.0,2.16,5.78,1.44B,35.9,54.7,17.3,28.0,39.6,27.1,33.4,6.2,3.4,21.0,2.61,0.09,,19.5,2.63,0.39,0.23
Ireland,98.3,1.96,73.8,5.09M,64.2,1.21,8.84,90.0,7.18,27.2,65.6,11.2,11.5,15.3,4.56,3.67,,15.3,4.66,4.34,
Iran,102.0,1.51,16.3,89.8M,76.8,18.8,26.7,54.5,17.1,32.4,50.5,7.3,5.1,36.0,14.6,0.99,,21.2,7.7,3.53,1.09
Iraq,101.0,3.94,10.7,46.5M,71.4,15.0,16.2,68.8,18.7,23.7,57.6,6.2,3.7,,,,,,,,
Iceland,105.0,1.87,63.4,378k,94.0,1.4,7.35,91.3,6.42,26.6,67.0,,,9.0,5.03,3.82,,11.1,5.47,3.38,
Israel,99.7,2.78,46.3,9.31M,92.8,0.462,7.95,91.6,1.32,25.6,73.1,12.5,12.5,8.21,3.72,2.45,1.76,7.64,4.26,3.63,2.56
Italy,95.4,1.56,56.8,58.7M,71.7,2.38,13.0,84.6,4.99,35.2,59.8,10.6,10.2,31.8,10.3,4.91,2.04,27.9,7.96,5.07,1.78
Jamaica,98.3,1.9,15.6,2.82M,57.0,8.22,5.72,86.1,20.9,24.7,54.4,9.9,10.3,,,,,,,,
Jersey,97.5,,,,,,,,,,,,,,,,,,,,
Jordan,107.0,2.93,14.0,11.4M,91.8,0.753,13.0,86.3,2.81,26.7,70.5,10.6,8.6,,,,,,,,
Japan,94.5,1.55,54.4,123M,92.0,2.95,13.9,83.1,3.71,32.4,63.9,12.2,12.2,4.2,2.69,2.1,1.1,5.0,2.97,2.9,2.4
Kazakhstan,93.1,2.43,13.5,19.8M,58.0,13.2,11.8,74.9,16.3,29.3,54.3,11.9,11.9,4.15,5.52,5.97,0.86,3.42,4.52,5.17,0.59
Kenya,98.2,3.42,3.94,56.2M,29.0,59.3,1.62,39.0,49.6,10.6,39.8,7.6,5.9,,,,,,,,
Kyrgyz Republic,96.4,2.7,7.34,6.84M,37.5,18.8,14.9,66.3,19.6,31.7,48.7,11.6,11.4,,,,,,,,
Cambodia,97.9,2.34,6.51,17.1M,25.1,36.6,26.3,37.1,32.6,29.4,37.9,5.4,3.2,,,,,,,,
Kiribati,95.5,3.35,6.5,136k,57.1,,,,,,,8.9,9.2,,,,,,,,
